City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Sao Filipe,CV,76.82,broken clouds,14.8961,-24.4956,Hotel Xaguate
5,Hobyo,SO,78.44,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
7,Diebougou,BF,74.53,few clouds,10.9667,-3.25,Hotel Le Consulat
10,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
11,Sao Raimundo Nonato,BR,77.07,clear sky,-9.0153,-42.6994,Real Hotel
15,Busselton,AU,73.09,clear sky,-33.65,115.3333,Observatory Guest House
16,Bambous Virieux,MU,78.22,light rain,-20.3428,57.7575,Casa Tia Villa
17,Ahipara,NZ,72.01,light rain,-35.1667,173.1667,Ahipara Holiday Park
18,Hilo,US,80.28,mist,19.7297,-155.09,Hilo Hawaiian Hotel
23,Nueva Loja,EC,71.91,overcast clouds,0.0847,-76.8828,Limoncocha Great Hotel
24,Acarau,BR,81.09,scattered clouds,-2.8856,-40.12,castelo pizzaria
29,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
31,Lorengau,PG,82.0,light rain,-2.0226,147.2712,Lorengau Harbourside Hotel
33,Itarema,BR,80.91,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
38,Batemans Bay,AU,83.98,scattered clouds,-35.7167,150.1833,Batemans Bay Marina Resort
39,Sambava,MG,72.86,light rain,-14.2667,50.1667,Melrose
43,San Carlos,VE,75.15,scattered clouds,9.6612,-68.5827,Hotel Paternopoli
46,Angoche,MZ,75.94,overcast clouds,-16.2325,39.9086,Guest House HESADA
52,Honiara,SB,83.34,overcast clouds,-9.4333,159.95,Heritage Park Hotel
53,Rikitea,PF,76.57,few clouds,-23.1203,-134.9692,People ThankYou
54,Rameswaram,IN,81.52,scattered clouds,9.2833,79.3,Daiwik Hotels Rameswaram
55,Venice,US,70.14,clear sky,27.0998,-82.4543,A Beach Retreat On Casey Key
57,Lobito,AO,77.49,light rain,-12.3481,13.5456,Casa Rosa Hotel Residence
63,Butaritari,KI,83.14,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
67,Conceicao Do Araguaia,BR,75.45,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
68,Bubaque,GW,81.23,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
71,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
75,Trairi,BR,81.1,scattered clouds,-3.2778,-39.2689,janelas do mar
79,Acajutla,SV,79.59,clear sky,13.5928,-89.8275,asi es
81,Axim,GH,79.27,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
82,Barabai,ID,83.62,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
84,Aden,YE,78.26,few clouds,12.7794,45.0367,Sama Emirate Hotel
85,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Iralaya,HN,78.13,clear sky,15.0,-83.2333,Iglesia morava renovada
99,Lagunas,PE,72.68,very heavy rain,-5.2269,-75.6753,Hospedaje Eco
103,Kulhudhuffushi,MV,82.65,scattered clouds,6.6221,73.07,Haajy Guest House 1
108,Makakilo City,US,73.72,mist,21.3469,-158.0858,Marriott's Ko Olina Beach Club
113,Robertsport,LR,80.29,light rain,6.7533,-11.3686,Kwepunha Retreat
