City_ID,City,Country,date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nantucket,US,2021-1205 20:41:19,41.2835,-70.0995,44.96,55,64,2.33
1,Rikitea,PF,2021-1205 20:41:20,-23.1203,-134.9692,76.15,74,98,8.23
2,Yellowknife,CA,2021-1205 20:41:20,62.456,-114.3525,-14.58,83,20,4.61
3,Erice,IT,2021-1205 20:41:20,38.037,12.5865,44.44,87,40,4.61
4,Port Elizabeth,ZA,2021-1205 20:41:21,-33.918,25.5701,66.09,100,0,3.44
5,Punta Arenas,CL,2021-1205 20:40:16,-53.15,-70.9167,55.51,44,20,24.16
6,Mar Del Plata,AR,2021-1205 20:36:38,-38.0023,-57.5575,66.22,82,20,11.99
7,Vaini,TO,2021-1205 20:41:21,-21.2,-175.2,80.76,83,75,10.36
8,Fortuna,US,2021-1205 20:41:21,40.5982,-124.1573,55.33,94,90,8.05
9,Asfi,MA,2021-1205 20:41:22,32.2994,-9.2372,59.11,81,0,21.56
10,Okakarara,NA,2021-1205 20:41:22,-20.5833,17.4333,70.09,11,0,9.22
11,Luanda,AO,2021-1205 20:41:22,-8.8368,13.2343,80.6,83,40,11.5
12,Atambua,ID,2021-1205 20:41:23,-9.1061,124.8925,74.23,90,100,1.43
13,Jatai,BR,2021-1205 20:41:23,-17.8814,-51.7144,79.84,65,70,1.9
14,Folkestone,GB,2021-1205 20:41:23,51.0833,1.1833,42.78,93,82,8.01
15,Hobart,AU,2021-1205 20:40:17,-42.8794,147.3294,57.25,64,40,4.0
16,Solnechnyy,RU,2021-1205 20:41:24,50.7214,136.6319,11.16,93,100,4.52
17,Hami,CN,2021-1205 20:36:54,42.8,93.45,31.01,47,99,5.3
18,Tuktoyaktuk,CA,2021-1205 20:41:24,69.4541,-133.0374,-18.4,76,75,6.91
19,New Norfolk,AU,2021-1205 20:41:25,-42.7826,147.0587,57.92,60,63,3.65
20,Blackwater,AU,2021-1205 20:41:25,-23.5833,148.8833,74.1,79,64,13.58
21,Atuona,PF,2021-1205 20:41:25,-9.8,-139.0333,78.69,73,6,18.61
22,Ushuaia,AR,2021-1205 20:40:47,-54.8,-68.3,46.06,71,75,31.07
23,Mataura,NZ,2021-1205 20:41:26,-46.1927,168.8643,52.48,59,98,4.43
24,Esperance,AU,2021-1205 20:41:26,-33.8667,121.9,60.64,73,79,12.66
25,Mpanda,TZ,2021-1205 20:41:26,-6.3655,31.0409,67.06,85,89,2.26
26,Bluff,NZ,2021-1205 20:41:27,-46.6,168.3333,52.81,50,88,11.97
27,Ngaoundere,CM,2021-1205 20:41:27,7.3167,13.5833,71.58,35,43,2.84
28,Butaritari,KI,2021-1205 20:41:27,3.0707,172.7902,81.0,84,100,13.65
29,Northam,GB,2021-1205 20:41:28,51.0333,-4.2167,42.39,71,71,9.28
30,Souillac,MU,2021-1205 20:41:28,-20.5167,57.5167,79.18,73,40,11.5
31,Kodiak,US,2021-1205 20:40:08,57.79,-152.4072,27.91,93,20,5.75
32,Haines Junction,CA,2021-1205 20:41:29,60.7522,-137.5108,-2.34,98,100,1.52
33,Panaba,MX,2021-1205 20:41:29,21.2833,-88.2667,85.21,40,0,6.46
34,Hilo,US,2021-1205 20:41:29,19.7297,-155.09,73.13,93,90,10.36
35,Isangel,VU,2021-1205 20:41:29,-19.55,169.2667,80.8,72,35,10.18
36,Hokitika,NZ,2021-1205 20:41:30,-42.7167,170.9667,58.87,65,97,5.77
37,Yumen,CN,2021-1205 20:41:30,40.2833,97.2,25.66,50,21,20.42
38,Hermanus,ZA,2021-1205 20:41:30,-34.4187,19.2345,61.81,94,100,11.79
39,Albany,US,2021-1205 20:41:31,42.6001,-73.9662,41.81,53,96,4.5
40,Thompson,CA,2021-1205 20:41:31,55.7435,-97.8558,-14.64,70,20,10.36
41,Jamestown,US,2021-1205 20:37:29,42.097,-79.2353,42.3,50,90,8.01
42,Busselton,AU,2021-1205 20:41:31,-33.65,115.3333,60.04,75,62,15.73
43,Port Alfred,ZA,2021-1205 20:41:32,-33.5906,26.891,69.04,95,100,15.66
44,Kapaa,US,2021-1205 20:42:32,22.0752,-159.319,78.19,68,1,4.0
45,Cape Town,ZA,2021-1205 20:42:32,-33.9258,18.4232,62.28,90,90,4.0
46,Torbay,CA,2021-1205 20:42:33,47.6666,-52.7314,33.76,69,20,9.22
47,Nelson Bay,AU,2021-1205 20:42:33,-32.7167,152.15,68.0,71,100,7.78
48,Qaanaaq,GL,2021-1205 20:42:34,77.484,-69.3632,21.36,77,100,6.71
49,Coihaique,CL,2021-1205 20:42:34,-45.5752,-72.0662,70.41,45,75,8.05
50,Mahebourg,MU,2021-1205 20:42:34,-20.4081,57.7,79.09,73,40,11.5
51,Bima,ID,2021-1205 20:42:35,-8.4667,118.7167,75.99,94,99,3.29
52,Moyobamba,PE,2021-1205 20:42:35,-6.05,-76.9667,76.46,72,100,2.24
53,Mandalgovi,MN,2021-1205 20:42:35,45.7625,106.2708,18.39,45,0,8.7
54,Lebu,CL,2021-1205 20:42:36,-37.6167,-73.65,64.24,66,0,13.76
55,Bredasdorp,ZA,2021-1205 20:42:36,-34.5322,20.0403,61.29,95,100,7.49
56,Vestmanna,FO,2021-1205 20:42:36,62.1564,-7.1664,32.92,69,75,9.22
57,Upernavik,GL,2021-1205 20:42:37,72.7868,-56.1549,27.54,72,100,2.13
58,Yarada,IN,2021-1205 20:42:37,17.65,83.2667,76.91,82,97,4.05
59,Saskylakh,RU,2021-1205 20:42:37,71.9167,114.0833,-25.55,96,100,4.52
60,Nanortalik,GL,2021-1205 20:42:38,60.1432,-45.2371,27.0,88,93,34.07
61,Muros,ES,2021-1205 20:42:38,42.7762,-9.0603,54.23,90,56,7.43
62,Te Anau,NZ,2021-1205 20:42:38,-45.4167,167.7167,48.51,72,70,5.48
63,Baracoa,CU,2021-1205 20:42:38,20.3467,-74.4958,81.41,75,52,10.85
64,Aklavik,CA,2021-1205 20:42:39,68.2191,-135.0107,-12.17,69,20,2.3
65,Aquidauana,BR,2021-1205 20:42:39,-20.4711,-55.7872,91.76,35,74,4.59
66,Sur,OM,2021-1205 20:42:39,22.5667,59.5289,73.22,71,0,5.53
67,Tasiilaq,GL,2021-1205 20:42:40,65.6145,-37.6368,30.15,92,98,29.68
68,Manama,BH,2021-1205 20:42:40,26.2154,50.5832,67.98,66,0,3.44
69,Camabatela,AO,2021-1205 20:42:40,-8.1881,15.375,62.69,98,100,2.17
70,Progreso,MX,2021-1205 20:42:41,21.2833,-89.6667,87.12,54,0,12.24
71,Castro,BR,2021-1205 20:42:41,-24.7911,-50.0119,65.57,84,94,2.68
72,Valleyview,CA,2021-1205 20:38:22,55.0667,-117.2859,1.44,60,3,3.44
73,Ponta Do Sol,PT,2021-1205 20:42:41,32.6667,-17.1,66.83,74,43,8.28
74,Saint-Philippe,RE,2021-1205 20:42:42,-21.3585,55.7679,76.59,81,37,10.49
75,Kamenka,RU,2021-1205 20:42:42,51.3223,42.7678,26.91,68,88,6.53
76,Beringovskiy,RU,2021-1205 20:42:42,63.05,179.3167,7.45,81,100,38.56
77,Palmer,US,2021-1205 20:42:43,42.1584,-72.3287,44.2,46,75,0.0
78,Bathsheba,BB,2021-1205 20:42:43,13.2167,-59.5167,84.81,65,40,23.02
79,Hasaki,JP,2021-1205 20:42:43,35.7333,140.8333,43.29,64,100,12.95
80,Ribeira Grande,PT,2021-1205 20:42:44,38.5167,-28.7,64.8,68,40,8.05
81,Brae,GB,2021-1205 20:42:44,60.3964,-1.353,40.91,62,81,6.62
82,Arraial Do Cabo,BR,2021-1205 20:42:44,-22.9661,-42.0278,80.56,78,20,17.27
83,Saint-Louis,SN,2021-1205 20:42:45,16.3333,-15.0,85.53,11,100,9.53
84,Cardoso,BR,2021-1205 20:42:45,-20.0819,-49.9142,83.84,56,59,2.84
85,Gravdal,NO,2021-1205 20:42:45,68.1214,13.5031,24.69,63,0,10.36
86,Vila Franca Do Campo,PT,2021-1205 20:42:45,37.7167,-25.4333,64.2,83,41,3.49
87,Samarai,PG,2021-1205 20:42:46,-10.6167,150.6667,81.75,77,99,7.02
88,Bilma,NE,2021-1205 20:42:46,18.6853,12.9164,67.51,18,42,6.96
89,Christchurch,NZ,2021-1205 20:42:46,-43.5333,172.6333,51.03,86,90,11.5
90,Svetlogorsk,BY,2021-1205 20:43:47,52.6333,29.7333,30.0,91,100,5.99
91,Hithadhoo,MV,2021-1205 20:43:47,-0.6,73.0833,81.1,79,100,13.69
92,Georgetown,MY,2021-1205 20:43:47,5.4112,100.3354,77.9,81,20,5.99
93,Palestina,PS,2021-1205 20:43:48,31.9216,35.2033,51.94,79,47,4.74
94,Cherskiy,RU,2021-1205 20:43:48,68.75,161.3,-47.36,100,84,4.83
95,Ambon,ID,2021-1205 20:43:48,-3.6954,128.1814,77.14,88,75,6.91
96,Jambi,ID,2021-1205 20:43:48,-1.6,103.6167,73.4,99,100,2.46
97,Huron,US,2021-1205 20:43:49,41.1501,-82.5499,45.1,65,100,16.98
98,Oussouye,SN,2021-1205 20:43:49,12.485,-16.5469,77.18,61,99,5.08
99,Narsaq,GL,2021-1205 20:43:49,60.9167,-46.05,26.82,90,100,16.22
100,Avarua,CK,2021-1205 20:43:50,-21.2078,-159.775,80.65,89,40,5.75
101,Fort Nelson,CA,2021-1205 20:43:50,58.8053,-122.7002,-17.01,76,1,4.61
102,Pangody,RU,2021-1205 20:43:50,65.85,74.4859,-29.04,100,37,6.87
103,East London,ZA,2021-1205 20:43:51,-33.0153,27.9116,69.46,97,100,4.9
104,Glodeni,MD,2021-1205 20:43:51,47.7708,27.5144,37.4,94,100,6.17
105,Provideniya,RU,2021-1205 20:43:51,64.3833,-173.3,30.36,100,90,24.61
106,Airai,TL,2021-1205 20:43:52,-8.9266,125.4092,61.16,93,100,0.34
107,Chuy,UY,2021-1205 20:43:52,-33.6971,-53.4616,68.38,75,96,9.57
108,Laguna,US,2021-1205 20:43:52,38.421,-121.4238,72.64,84,90,3.44
109,Kalmunai,LK,2021-1205 20:41:29,7.4167,81.8167,77.54,86,4,1.63
110,Ocampo,MX,2021-1205 20:41:16,21.65,-101.5,72.28,26,84,12.3
111,Khor,RU,2021-1205 20:43:53,47.8861,134.9464,22.87,89,89,7.23
112,Jieshi,CN,2021-1205 20:43:53,22.8134,115.8257,59.29,66,33,9.17
113,Taltal,CL,2021-1205 20:43:53,-25.4,-70.4833,67.84,64,27,6.11
114,Geraldton,AU,2021-1205 20:43:54,-28.7667,114.6,64.13,88,2,8.05
115,Skibbereen,IE,2021-1205 20:43:54,51.55,-9.2667,42.6,81,100,11.99
116,Roma,US,2021-1205 20:39:49,43.2128,-75.4557,41.13,76,90,8.05
117,Faya,SA,2021-1205 20:43:54,18.3851,42.4509,55.51,70,0,2.3
118,Mago,RU,2021-1205 20:43:55,53.2514,140.1822,-2.72,99,86,1.59
119,Palasa,IN,2021-1205 20:43:55,18.7667,84.4167,72.81,91,96,2.1
120,Pevek,RU,2021-1205 20:43:55,69.7008,170.3133,-8.18,97,100,12.48
121,Ust-Maya,RU,2021-1205 20:43:56,60.4167,134.5333,1.33,98,100,3.29
122,Fethiye,TR,2021-1205 20:43:56,36.6217,29.1164,58.87,80,35,3.29
123,San Patricio,US,2021-1205 20:43:56,28.017,-97.5169,84.88,65,100,16.53
124,Port Macquarie,AU,2021-1205 20:43:57,-31.4333,152.9167,64.89,79,99,4.29
125,Daryapur,IN,2021-1205 20:43:57,20.9333,77.3333,68.05,54,0,3.33
126,Puerto Ayora,EC,2021-1205 20:43:57,-0.7393,-90.3518,75.16,82,61,9.66
127,Soc Trang,VN,2021-1205 20:43:58,9.6033,105.98,71.56,91,100,6.02
128,Shimoda,JP,2021-1205 20:43:58,34.6667,138.95,48.11,83,100,15.19
129,Ostrovnoy,RU,2021-1205 20:43:58,68.0531,39.5131,8.35,74,85,21.47
130,Tuatapere,NZ,2021-1205 20:43:58,-46.1333,167.6833,52.83,63,97,5.77
131,San Felipe,VE,2021-1205 20:43:59,10.3399,-68.7425,81.03,68,52,9.15
132,Lakatoro,VU,2021-1205 20:43:59,-16.0999,167.4164,81.91,73,29,5.79
133,Anloga,GH,2021-1205 20:43:59,5.7947,0.8973,84.42,82,66,13.24
134,Lavrentiya,RU,2021-1205 20:44:00,65.5833,-171.0,29.84,98,100,9.75
135,Vila Velha,BR,2021-1205 20:44:00,-20.3297,-40.2925,80.55,83,40,8.01
136,Yulara,AU,2021-1205 20:44:00,-25.2406,130.9889,64.24,77,40,6.91
137,Bethel,US,2021-1205 20:44:01,41.3712,-73.414,45.81,45,84,3.0
138,Sept-Iles,CA,2021-1205 20:45:01,50.2001,-66.3821,21.06,58,40,10.0
139,Houston,US,2021-1205 20:34:57,29.7633,-95.3633,80.8,74,75,5.01
140,Victoria,HK,2021-1205 20:41:51,22.2855,114.1577,64.38,65,52,1.01
141,Xining,CN,2021-1205 20:45:01,36.6167,101.7667,25.57,43,3,0.25
142,Saint Anthony,US,2021-1205 20:45:02,45.0205,-93.218,39.72,68,90,1.99
143,Zambezi,ZM,2021-1205 20:45:02,-13.5432,23.1047,69.26,72,29,6.98
144,Norman Wells,CA,2021-1205 20:45:02,65.282,-126.8329,-12.23,80,54,4.88
145,Tonj,SS,2021-1205 20:45:03,7.2737,28.6822,82.58,28,81,4.54
146,Abu Samrah,SY,2021-1205 20:45:03,35.3029,37.1841,52.21,52,5,4.03
147,Faanui,PF,2021-1205 20:45:03,-16.4833,-151.75,81.39,67,35,18.68
148,El Rosario,MX,2021-1205 20:45:04,24.2556,-107.1828,81.45,27,100,5.41
149,Oktyabrskoye,RU,2021-1205 20:45:04,43.0645,44.7417,26.74,93,10,8.95
150,Rawson,AR,2021-1205 20:45:04,-43.3002,-65.1023,67.66,51,21,15.55
151,Cristinapolis,BR,2021-1205 20:45:05,-11.4756,-37.7553,75.22,85,96,8.03
152,Kayerkan,RU,2021-1205 20:45:05,69.3497,87.7602,-21.48,68,100,19.48
153,Namatanai,PG,2021-1205 20:40:10,-3.6667,152.4333,79.81,82,99,1.03
154,Klaksvik,FO,2021-1205 20:45:05,62.2266,-6.589,34.72,61,28,14.07
155,Labytnangi,RU,2021-1205 20:45:06,66.6572,66.4183,-19.68,94,36,8.34
156,Luderitz,NA,2021-1205 20:45:06,-26.6481,15.1594,61.7,86,0,11.68
157,Krasnoselkup,RU,2021-1205 20:45:06,65.7,82.4667,-35.73,100,31,3.27
158,Timbiqui,CO,2021-1205 20:45:07,2.7717,-77.6654,77.7,91,98,8.5
159,Katsuura,JP,2021-1205 20:45:07,35.1333,140.3,47.1,73,99,11.7
160,Gobabis,NA,2021-1205 20:45:07,-22.45,18.9667,72.73,12,0,12.08
161,Marystown,CA,2021-1205 20:45:07,47.1666,-55.1483,36.86,100,99,14.58
162,Barrow,US,2021-1205 20:45:00,71.2906,-156.7887,8.62,78,1,16.11
163,Lamu,KE,2021-1205 20:45:08,-2.2717,40.902,80.82,79,100,9.6
164,Yemelyanovo,RU,2021-1205 20:45:08,56.1681,92.6767,31.08,74,0,8.95
165,Vestmannaeyjar,IS,2021-1205 20:45:09,63.4427,-20.2734,44.44,87,100,19.39
166,Axim,GH,2021-1205 20:45:09,4.8699,-2.2405,80.74,82,68,9.42
167,Foki,RU,2021-1205 20:45:09,56.693,54.3499,10.6,79,98,6.02
168,Oeiras Do Para,BR,2021-1205 20:45:10,-2.0031,-49.8544,80.06,82,100,2.64
169,Matara,LK,2021-1205 20:41:24,5.9485,80.5353,75.65,90,92,4.29
170,Clyde River,CA,2021-1205 20:45:10,70.4692,-68.5914,10.63,85,100,36.82
171,Santiago Del Estero,AR,2021-1205 20:45:10,-27.7951,-64.2615,86.81,33,44,5.39
172,Kumo,NG,2021-1205 20:45:11,10.0447,11.2122,79.81,26,70,6.87
173,Baykit,RU,2021-1205 20:45:11,61.67,96.37,-5.33,96,100,2.77
174,Xinzhi,CN,2021-1205 20:45:11,36.4989,111.7047,40.57,31,6,5.79
175,Raudeberg,NO,2021-1205 20:45:12,61.9875,5.1352,34.86,76,100,8.01
176,Jadu,LY,2021-1205 20:45:12,31.953,12.0261,47.25,35,0,14.29
177,Wairoa,NZ,2021-1205 20:45:12,-39.0333,177.3667,75.54,61,97,1.99
178,Angoram,PG,2021-1205 20:45:13,-4.0625,144.0661,75.76,99,100,1.66
179,Ixtapa,MX,2021-1205 20:45:13,20.7,-105.2,83.23,70,97,4.0
180,Borogontsy,RU,2021-1205 20:45:13,62.6683,131.1683,-12.96,96,100,6.6
